"","Bird.Call","Location","Distance","Date","Confidence","jd","std_dev","mean_noise"
"163","Blue-gray Gnatcatcher","jmill","25m",617,0.7605,169,0.00141937593735683,0.00786338267855732
"164","Carolina Wren","jmill","25m",617,0.8167,169,0.00141937593735683,0.00786338267855732
"165","Eastern Wood-Pewee","jmill","25m",617,0.7338,169,0.00141937593735683,0.00786338267855732
"166","Mourning Dove","jmill","25m",617,0.0316,169,0.00141937593735683,0.00786338267855732
"167","Yellow-billed Cuckoo","jmill","25m",617,0.9673,169,0.00141937593735683,0.00786338267855732
"168","Acadian Flycatcher","jmill","50m",617,0.9498,169,0.00141937593735683,0.00786338267855732
"169","Blue-gray Gnatcatcher","jmill","50m",617,0.6774,169,0.00141937593735683,0.00786338267855732
"170","Carolina Wren","jmill","50m",617,0.3126,169,0.00141937593735683,0.00786338267855732
"171","Eastern Wood-Pewee","jmill","50m",617,0.8237,169,0.00141937593735683,0.00786338267855732
"172","Mourning Dove","jmill","50m",617,0.0428,169,0.00141937593735683,0.00786338267855732
"173","Yellow-billed Cuckoo","jmill","50m",617,0.9626,169,0.00141937593735683,0.00786338267855732
"174","Acadian Flycatcher","jmill","50m",617,0.9439,169,0.00141937593735683,0.00786338267855732
"175","Blue-gray Gnatcatcher","jmill","50m",617,0.6472,169,0.00141937593735683,0.00786338267855732
"176","Carolina Wren","jmill","50m",617,0.2752,169,0.00141937593735683,0.00786338267855732
"177","Eastern Wood-Pewee","jmill","50m",617,0.5551,169,0.00141937593735683,0.00786338267855732
"178","Mourning Dove","jmill","50m",617,0.0298,169,0.00141937593735683,0.00786338267855732
"179","Yellow-billed Cuckoo","jmill","50m",617,0.4572,169,0.00141937593735683,0.00786338267855732
"180","Acadian Flycatcher","jmill","50m",617,0.9251,169,0.00141937593735683,0.00786338267855732
"181","Blue-gray Gnatcatcher","jmill","50m",617,0.6537,169,0.00141937593735683,0.00786338267855732
"182","Carolina Wren","jmill","50m",617,0.6327,169,0.00141937593735683,0.00786338267855732
"183","Eastern Wood-Pewee","jmill","50m",617,0.7046,169,0.00141937593735683,0.00786338267855732
"184","Mourning Dove","jmill","50m",617,0.044,169,0.00141937593735683,0.00786338267855732
"185","Yellow-billed Cuckoo","jmill","50m",617,0.9949,169,0.00141937593735683,0.00786338267855732
"186","Acadian Flycatcher","jmill","50m",617,0.6057,169,0.00141937593735683,0.00786338267855732
"187","Blue-gray Gnatcatcher","jmill","50m",617,0.7769,169,0.00141937593735683,0.00786338267855732
"188","Carolina Wren","jmill","50m",617,0.8525,169,0.00141937593735683,0.00786338267855732
"189","Eastern Wood-Pewee","jmill","50m",617,0.8426,169,0.00141937593735683,0.00786338267855732
"190","Mourning Dove","jmill","50m",617,0.0507,169,0.00141937593735683,0.00786338267855732
"191","Yellow-billed Cuckoo","jmill","50m",617,0.9975,169,0.00141937593735683,0.00786338267855732
"192","Acadian Flycatcher","ncbg","25m",517,0.9879,138,0.0545879766292936,0.11689130404062
"193","Acadian Flycatcher","ncbg","25m",517,0.9848,138,0.0545879766292936,0.11689130404062
"194","Acadian Flycatcher","ncbg","25m",517,0.9563,138,0.0545879766292936,0.11689130404062
"195","Blue-gray Gnatcatcher","ncbg","25m",517,0.758,138,0.0545879766292936,0.11689130404062
"196","Blue-gray Gnatcatcher","ncbg","25m",517,0.884,138,0.0545879766292936,0.11689130404062
"197","Blue-gray Gnatcatcher","ncbg","25m",517,0.8422,138,0.0545879766292936,0.11689130404062
"198","Carolina Wren","ncbg","25m",517,0.8096,138,0.0545879766292936,0.11689130404062
"199","Carolina Wren","ncbg","25m",517,0.6232,138,0.0545879766292936,0.11689130404062
"200","Carolina Wren","ncbg","25m",517,0.2501,138,0.0545879766292936,0.11689130404062
"201","Eastern Wood-Pewee","ncbg","25m",517,0.6409,138,0.0545879766292936,0.11689130404062
"202","Eastern Wood-Pewee","ncbg","25m",517,0.2289,138,0.0545879766292936,0.11689130404062
"203","Eastern Wood-Pewee","ncbg","25m",517,0.6107,138,0.0545879766292936,0.11689130404062
"204","Mourning Dove","ncbg","25m",517,0.7703,138,0.0545879766292936,0.11689130404062
"205","Mourning Dove","ncbg","25m",517,0.4467,138,0.0545879766292936,0.11689130404062
"206","Mourning Dove","ncbg","25m",517,0.5375,138,0.0545879766292936,0.11689130404062
"207","Yellow-billed Cuckoo","ncbg","25m",517,0.9371,138,0.0545879766292936,0.11689130404062
"208","Yellow-billed Cuckoo","ncbg","25m",517,0.9338,138,0.0545879766292936,0.11689130404062
"209","Yellow-billed Cuckoo","ncbg","25m",517,0.8633,138,0.0545879766292936,0.11689130404062
"210","Acadian Flycatcher","ncbg","25m",524,0.9642,145,0.0120957360817717,0.0302925805069077
"211","Blue-gray Gnatcatcher","ncbg","25m",524,0.9396,145,0.0120957360817717,0.0302925805069077
"212","Carolina Wren","ncbg","25m",524,0.9667,145,0.0120957360817717,0.0302925805069077
"213","Eastern Wood-Pewee","ncbg","25m",524,0.9247,145,0.0120957360817717,0.0302925805069077
"214","Mourning Dove","ncbg","25m",524,0.163,145,0.0120957360817717,0.0302925805069077
"215","Yellow-billed Cuckoo","ncbg","25m",524,0.9915,145,0.0120957360817717,0.0302925805069077
"216","Acadian Flycatcher","ncbg","25m",524,0.808,145,0.0120957360817717,0.0302925805069077
"217","Blue-gray Gnatcatcher","ncbg","25m",524,0.9458,145,0.0120957360817717,0.0302925805069077
"218","Carolina Wren","ncbg","25m",524,0.9962,145,0.0120957360817717,0.0302925805069077
"219","Eastern Wood-Pewee","ncbg","25m",524,0.896,145,0.0120957360817717,0.0302925805069077
"220","Mourning Dove","ncbg","25m",524,0.8241,145,0.0120957360817717,0.0302925805069077
"221","Yellow-billed Cuckoo","ncbg","25m",524,0.9622,145,0.0120957360817717,0.0302925805069077
"222","Acadian Flycatcher","ncbg","25m",524,0.9755,145,0.0120957360817717,0.0302925805069077
"223","Blue-gray Gnatcatcher","ncbg","25m",524,0.9755,145,0.0120957360817717,0.0302925805069077
"224","Carolina Wren","ncbg","25m",524,0.9988,145,0.0120957360817717,0.0302925805069077
"225","Eastern Wood-Pewee","ncbg","25m",524,0.8567,145,0.0120957360817717,0.0302925805069077
"226","Mourning Dove","ncbg","25m",524,0.6492,145,0.0120957360817717,0.0302925805069077
"227","Yellow-billed Cuckoo","ncbg","25m",524,0.9917,145,0.0120957360817717,0.0302925805069077
"228","Acadian Flycatcher","ncbg","25m",524,0.9229,145,0.0120957360817717,0.0302925805069077
"229","Blue-gray Gnatcatcher","ncbg","25m",524,0.9025,145,0.0120957360817717,0.0302925805069077
"230","Carolina Wren","ncbg","25m",524,0.9928,145,0.0120957360817717,0.0302925805069077
"231","Eastern Wood-Pewee","ncbg","25m",524,0.748,145,0.0120957360817717,0.0302925805069077
"232","Mourning Dove","ncbg","25m",524,0.6238,145,0.0120957360817717,0.0302925805069077
"233","Yellow-billed Cuckoo","ncbg","25m",524,0.9974,145,0.0120957360817717,0.0302925805069077
