Start (s),End (s),Scientific name,Common name,Confidence,File
58.5,61.5,Empidonax virescens,Acadian Flycatcher,0.0357,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
58.5,61.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0203,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
58.5,61.5,Contopus virens,Eastern Wood-Pewee,0.0052,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
58.5,61.5,Zenaida macroura,Mourning Dove,0.0020,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
58.5,61.5,Thryothorus ludovicianus,Carolina Wren,0.0019,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
58.5,61.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0018,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
60.0,63.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0268,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
60.0,63.0,Empidonax virescens,Acadian Flycatcher,0.0234,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
60.0,63.0,Contopus virens,Eastern Wood-Pewee,0.0049,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
60.0,63.0,Zenaida macroura,Mourning Dove,0.0032,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
60.0,63.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0015,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
60.0,63.0,Thryothorus ludovicianus,Carolina Wren,0.0006,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
61.5,64.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0161,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
61.5,64.5,Zenaida macroura,Mourning Dove,0.0136,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
61.5,64.5,Empidonax virescens,Acadian Flycatcher,0.0095,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
61.5,64.5,Contopus virens,Eastern Wood-Pewee,0.0047,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
61.5,64.5,Thryothorus ludovicianus,Carolina Wren,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
61.5,64.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
63.0,66.0,Zenaida macroura,Mourning Dove,0.0298,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
63.0,66.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0124,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
63.0,66.0,Empidonax virescens,Acadian Flycatcher,0.0100,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
63.0,66.0,Contopus virens,Eastern Wood-Pewee,0.0031,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
63.0,66.0,Thryothorus ludovicianus,Carolina Wren,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
63.0,66.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
64.5,67.5,Zenaida macroura,Mourning Dove,0.0391,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
64.5,67.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0261,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
64.5,67.5,Empidonax virescens,Acadian Flycatcher,0.0215,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
64.5,67.5,Contopus virens,Eastern Wood-Pewee,0.0048,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
64.5,67.5,Polioptila caerulea,Blue-gray Gnatcatcher,0.0012,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
64.5,67.5,Thryothorus ludovicianus,Carolina Wren,0.0009,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
66.0,69.0,Zenaida macroura,Mourning Dove,0.0310,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
66.0,69.0,Coccyzus americanus,Yellow-billed Cuckoo,0.0175,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
66.0,69.0,Empidonax virescens,Acadian Flycatcher,0.0146,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
66.0,69.0,Contopus virens,Eastern Wood-Pewee,0.0088,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
66.0,69.0,Polioptila caerulea,Blue-gray Gnatcatcher,0.0022,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
66.0,69.0,Thryothorus ludovicianus,Carolina Wren,0.0011,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
67.5,70.5,Coccyzus americanus,Yellow-billed Cuckoo,0.0110,Z:\Databases\CaterpillarsCount\AudioMoth\Playback\JMill_50m_0617.WAV
