Start(s),End(s),Scientificname,Commonname,Confidence,File
0,3,Thryothorusludovicianus,CarolinaWren,0.7085,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_50.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.994,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_CW5_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.9106,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_EWP_100.wav
0,3,Contopusvirens,EasternWood-Pewee,0.628,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_EWP_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.736,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_YBC_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.6226,audiofiles\masonFarmAudio\audiofiles\50m\20_50N_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.9255,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_AF_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.8796,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_AF_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.2081,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.0583,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_BG_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.0149,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_50.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.7556,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_CW5_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.2102,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_EWP_100.wav
0,3,Contopusvirens,EasternWood-Pewee,0.0147,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_EWP_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.6375,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_YBC_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.0384,audiofiles\masonFarmAudio\audiofiles\50m\21_50S_YBC_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.8879,audiofiles\masonFarmAudio\audiofiles\50m\4_50N_AF_75.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.236,audiofiles\masonFarmAudio\audiofiles\50m\4_50N_BG_100.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.6712,audiofiles\masonFarmAudio\audiofiles\50m\4_50N_CW5_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.2726,audiofiles\masonFarmAudio\audiofiles\50m\4_50N_EWP_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.1006,audiofiles\masonFarmAudio\audiofiles\50m\4_50N_BG_75.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.977,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_AF_100.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9993,audiofiles\masonFarmAudio\audiofiles\50m\4_50N_YBC_100.wav
0,3,Empidonaxvirescens,AcadianFlycatcher,0.5809,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_AF_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.9274,audiofiles\masonFarmAudio\audiofiles\50m\4_50N_YBC_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.5229,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_EWP_100.wav
0,3,Polioptilacaerulea,Blue-grayGnatcatcher,0.0807,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_BG_75.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.0017,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_CW5_50.wav
0,3,Thryothorusludovicianus,CarolinaWren,0.0699,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_CW5_75.wav
0,3,Contopusvirens,EasternWood-Pewee,0.1624,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_EWP_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.0668,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_YBC_75.wav
0,3,Coccyzusamericanus,Yellow-billedCuckoo,0.5536,audiofiles\masonFarmAudio\audiofiles\50m\5_50S_YBC_100.wav
