Site Identifier,Location,Elevation (m),Nest Height (m),Substrate Relation,Substrate,Entrance Orientation,Cavity Entrance Diameter,Primary Habitat,Secondary Habitat,Human-Modified Habitat
# NestWatch Raw Attempt Sites
# Please be aware that some sample sizes may be very small. This is typical of species that are less commonly reported, and particularly for open cup nesting birds. Any analyses conducted using sample sizes of less than 50 nest attempts for a single species during a single year should be interpreted very cautiously. Note: a nest attempt is any attempt where at least one egg or young were reported in the nest summary. Also note that these data are retrieved from nest summaries only and do not include any information from individual nest checks.
# Substrate Codes: {nesbox=nest box / birdhouse, buildi=building or dwelling, poptow=post / pole or platform, ssdtcv=cavity in snag / dead tree, ltrcav=cavity in live tree, ltrbra=live tree branch, ssdtre=dead tree branch, busshr=bush or shrub, cliled=cliff or rock, ground=ground, floveg=floating vegetation, other=other}
# Habitat Codes: {NW-human=human modified landscape, NW-ag=agricultural area, NW-for=woodland/forest, NW-grass=natural grassland and prairie, NW-chap=shrubland and chapparal, NW-des=desert, NW-fw=fresh water, NW-sw=salt water, NW-beach=beach, NW-tun=tundra, NW-oth=other (please describe in notes), NW-ry=yard, residential area, NW-park=public park/green space, NW-road=roadside, NW-golf=golf course, NW-pit=land fill/gravel pit/strip mine, NW-cem=cemetery, NW-com-ind=industrial/commercial center, NW-pwrln=powerline corridor, NW-campus=campus/schoolyard/church/hospital, NW-airprt=airport, NW-cmpgrd=campground, NW-xmas=Christmas tree farm, NW-orch-vin=orchard/vineyard, NW-clrcut=recently clear cut area, NW-burn=recently burned area}
L8853979,US-NC,,1.49960,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8853997,US-NC,,1.70080,in,nesbox,se,3.81000,NW-golf,NW-ry,
L8880260,US-NC,,1.70080,in,nesbox,se,3.81000,NW-golf,NW-golf,
L8854027,US-NC,,1.70080,in,nesbox,e,3.81000,NW-golf,NW-ry,
L8854046,US-NC,,1.60020,in,nesbox,n,2.85800,NW-golf,NW-golf,
L8854078,US-NC,,1.52400,in,nesbox,w,3.81000,NW-ry,NW-ry,
L8854105,US-NC,,1.72520,in,nesbox,e,2.85800,NW-golf,NW-ry,
L8854114,US-NC,,1.72520,in,nesbox,w,3.81000,NW-golf,NW-ry,
L8854135,US-NC,,1.67640,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L9056557,US-NC,,1.67640,in,nesbox,e,3.81000,NW-ry,NW-ry,
L8954653,US-NC,,,in,nesbox,s,,NW-ry,NW-for,
L9069474,US-NC,,1.37160,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L9069442,US-NC,,1.60020,in,nesbox,w,3.81000,NW-ry,NW-ry,
L9093125,US-NC,,1.82880,in,nesbox,ne,,NW-for,NW-for,
L9130982,US-NC,,1.31980,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L9143233,US-NC,743.71200,1.52400,on,poptow,,,NW-ry,NW-for,
L9164878,US-NC,,1.62460,in,nesbox,e,3.81000,NW-ry,NW-ry,
L9165337,US-NC,708.66000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9169351,US-NC,701.04000,1.52400,on,poptow,,,NW-road,NW-road,
L9224290,US-NC,714.75600,1.52400,on,poptow,,,NW-ry,NW-for,
L9251192,US-NC,294.13200,1.82880,in,nesbox,se,3.81000,NW-ry,NW-ry,
L9190814,US-NC,0.00000,1.21920,in,nesbox,e,,NW-ry,NW-ry,
L9122256,US-NC,723.90000,1.52400,on,poptow,,,NW-com-ind,NW-for,
L9266273,US-NC,746.76000,1.52400,on,poptow,,,NW-park,NW-campus,
L9285437,US-NC,231.95280,1.82880,in,nesbox,e,3.81000,NW-ry,NW-ry,
L3530126,US-NC,,4.57200,in,nesbox,w,3.81000,NW-oth,NW-fw,
L9353749,US-NC,120.09000,1.82880,on,poptow,,,NW-ry,NW-for,
L9396995,US-NC,746.76000,1.52400,on,poptow,,,NW-ry,NW-for,
L344804,US-NC,152.40000,1.67640,in,nesbox,e,1.62500,NW-golf,NW-golf,
L9431690,US-NC,167.64000,1.52400,in,nesbox,se,27.94000,NW-ry,NW-for,
L9514555,US-NC,,1.57580,in,nesbox,s,3.81000,NW-ry,NW-ry,
L9061590,US-NC,212.14080,2.43840,on,poptow,w,3.81000,NW-oth,NW-for,
L9593681,US-NC,746.76000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9675011,US-NC,646.17600,1.52400,in,nesbox,e,3.81000,NW-ry,NW-ry,
L9674658,US-NC,646.17600,1.82880,in,nesbox,sw,3.81000,NW-ry,NW-ry,
L9277875,US-NC,0.00000,1.52400,on,poptow,,,,,
L9124830,US-NC,701.04000,1.52400,on,poptow,,,NW-ry,NW-ry,
L9125984,US-NC,714.75600,1.82880,on,poptow,,,NW-ry,NW-ry,
L9923368,US-NC,670.56000,1.52400,on,nesbox,ne,3.81000,NW-ry,NW-ry,
L9140895,US-NC,714.75600,1.52400,on,poptow,,,NW-ry,NW-for,
L9165372,US-NC,708.66000,1.52400,on,poptow,,,NW-ry,NW-ry,
L10690935,US-NC,222.50400,2.13360,in,nesbox,s,3.81000,NW-for,NW-golf,
L10683881,US-NC,222.50400,1.98120,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10742306,US-NC,216.40800,1.82880,in,nesbox,e,3.17500,NW-for,NW-ry,
L10765694,US-NC,222.50400,1.52400,in,nesbox,n,3.17500,NW-ry,NW-ry,
L10765858,US-NC,222.50400,1.52400,in,nesbox,ne,3.81000,NW-ry,NW-ry,
L10765914,US-NC,216.40800,1.52400,in,nesbox,sw,3.17500,NW-ry,NW-ry,
L10371429,US-NC,219.45600,1.52400,in,nesbox,se,3.81000,NW-ry,NW-ry,
L10891740,US-NC,,1.67640,in,nesbox,s,3.81000,NW-ry,NW-ry,
